"type","ID","Period","site"
"1","BearMR","a",1,"C1"
"2","BearMR","a",1,"C2"
"3","BearMR","a",1,"E1"
"4","BearMR","a",1,"F1"
"5","BearMR","b",1,"A6"
"6","BearMR","b",1,"B6"
"7","BearMR","c",1,"A2"
"8","BearMR","c",1,"A4"
"9","BearMR","c",1,"B3"
"10","BearMR","c",1,"C5"
"11","BearMR","d",1,"C5"
"12","BearMR","d",1,"E4"
"13","BearMR","d",1,"E6"
"14","BearMR","d",1,"F6"
"15","BearMR","e",1,"E2"
"16","BearMR","e",1,"F1"
"17","BearMR","e",1,"F2"
"18","BearMR","f",1,"B1"
"19","BearMR","f",1,"D2"
"20","BearMR","f",1,"E2"
"21","BearMR","g",1,"E4"
"22","BearMR","g",1,"E5"
"23","BearMR","g",1,"F4"
"24","BearMR","h",1,"E6"
"25","BearMR","h",1,"F4"
"26","BearMR","i",1,"A5"
"27","BearMR","i",1,"A6"
"28","BearMR","j",1,"A5"
"29","BearMR","j",1,"A6"
"30","BearMR","j",1,"B5"
"31","BearMR","j",1,"C5"
"32","BearMR","j",1,"C6"
"33","BearMR","j",1,"D6"
"34","BearMR","k",1,"B1"
"35","BearMR","k",1,"C1"
"36","BearMR","k",1,"C3"
"37","BearMR","k",1,"D1"
"38","BearMR","k",1,"D2"
"39","BearMR","k",1,"D3"
"40","BearMR","k",1,"E1"
"41","BearMR","l",1,"C5"
"42","BearMR","l",1,"D5"
"43","BearMR","l",1,"D6"
"44","BearMR","l",1,"E6"
"45","BearMR","m",1,"F3"
"46","BearMR","m",1,"F4"
"47","BearMR","m",1,"F6"
"48","BearMR","n",1,"B1"
"49","BearMR","n",1,"C1"
"50","BearMR","n",1,"D1"
"51","BearMR","o",1,"C5"
"52","BearMR","o",1,"C6"
"53","BearMR","p",1,"E4"
"54","BearMR","p",1,"E5"
"55","BearMR","p",1,"F6"
"56","BearMR","q",1,"A4"
"57","BearMR","q",1,"A5"
"58","BearMR","q",1,"B6"
"59","BearMR","r",1,"A3"
"60","BearMR","r",1,"B4"
"61","BearMR","r",1,"B5"
"62","BearMR","r",1,"C4"
"63","BearMR","s",1,"E1"
"64","BearMR","s",1,"F2"
"65","BearMR","t",1,"C2"
"66","BearMR","t",1,"C5"
"67","BearMR","t",1,"D4"
"68","BearMR","t",1,"E4"
"69","BearMR","t",1,"E5"
"70","BearMR","u",1,"E6"
"71","BearMR","u",1,"F6"
"72","BearMR","v",1,"C2"
"73","BearMR","v",1,"C3"
"74","BearMR","w",1,"C2"
"75","BearMR","w",1,"D1"
"76","BearMR","w",1,"E1"
"77","BearMR","x",1,"D5"
"78","BearMR","x",1,"E5"
"79","BearMR","x",1,"E6"
"80","BearMR","x",1,"F5"
"81","BearMR","y",1,"A2"
"82","BearMR","y",1,"B2"
"83","BearMR","z",1,"B5"
"84","BearMR","z",1,"B6"
"85","BearMR","z",1,"C5"
"86","BearMR","z",1,"E4"
"87","BearMR","A",1,"A4"
"88","BearMR","A",1,"A5"
"89","BearMR","A",1,"B4"
"90","BearMR","A",1,"B5"
"91","BearMR","A",1,"B6"
"92","BearMR","B",1,"A1"
"93","BearMR","B",1,"A2"
"94","BearMR","B",1,"A3"
"95","BearMR","B",1,"A4"
"96","BearMR","C",1,"E2"
"97","BearMR","C",1,"F1"
"98","BearMR","C",1,"F3"
"99","BearMR","D",1,"C2"
"100","BearMR","D",1,"C3"
"101","BearMR","D",1,"D3"
"102","BearMR","D",1,"D6"
"103","BearMR","D",1,"E2"
"104","BearMR","a",2,"B3"
"105","BearMR","a",2,"C2"
"106","BearMR","a",2,"C3"
"107","BearMR","a",2,"D1"
"108","BearMR","a",2,"D2"
"109","BearMR","a",2,"D3"
"110","BearMR","a",2,"E1"
"111","BearMR","a",2,"E2"
"112","BearMR","a",2,"E3"
"113","BearMR","c",2,"A4"
"114","BearMR","c",2,"B2"
"115","BearMR","c",2,"B3"
"116","BearMR","c",2,"B4"
"117","BearMR","c",2,"D4"
"118","BearMR","c",2,"E4"
"119","BearMR","d",2,"E6"
"120","BearMR","d",2,"F4"
"121","BearMR","d",2,"F5"
"122","BearMR","d",2,"F6"
"123","BearMR","e",2,"E2"
"124","BearMR","e",2,"F1"
"125","BearMR","f",2,"C2"
"126","BearMR","f",2,"C3"
"127","BearMR","f",2,"D1"
"128","BearMR","f",2,"D2"
"129","BearMR","f",2,"E2"
"130","BearMR","g",2,"D4"
"131","BearMR","g",2,"E5"
"132","BearMR","g",2,"F4"
"133","BearMR","g",2,"F5"
"134","BearMR","g",2,"F6"
"135","BearMR","h",2,"E6"
"136","BearMR","h",2,"F5"
"137","BearMR","i",2,"A3"
"138","BearMR","j",2,"A5"
"139","BearMR","j",2,"C5"
"140","BearMR","k",2,"C1"
"141","BearMR","k",2,"F1"
"142","BearMR","l",2,"D5"
"143","BearMR","l",2,"E6"
"144","BearMR","m",2,"E3"
"145","BearMR","m",2,"E5"
"146","BearMR","m",2,"E6"
"147","BearMR","m",2,"F5"
"148","BearMR","n",2,"A1"
"149","BearMR","n",2,"C1"
