"type","ID","Period","site"
"1","BearMR","a",1,"A5"
"2","BearMR","a",1,"B6"
"3","BearMR","b",1,"B6"
"4","BearMR","b",1,"D5"
"5","BearMR","b",1,"F5"
"6","BearMR","c",1,"A5"
"7","BearMR","c",1,"B5"
"8","BearMR","c",1,"C6"
"9","BearMR","d",1,"E5"
"10","BearMR","e",1,"D6"
"11","BearMR","f",1,"B1"
"12","BearMR","f",1,"C3"
"13","BearMR","f",1,"D1"
"14","BearMR","f",1,"D4"
"15","BearMR","f",1,"F3"
"16","BearMR","g",1,"C3"
"17","BearMR","g",1,"C4"
"18","BearMR","g",1,"D4"
"19","BearMR","g",1,"D5"
"20","BearMR","g",1,"E4"
"21","BearMR","g",1,"E5"
"22","BearMR","h",1,"E1"
"23","BearMR","h",1,"E2"
"24","BearMR","h",1,"F2"
"25","BearMR","h",1,"F3"
"26","BearMR","i",1,"B4"
"27","BearMR","i",1,"C2"
"28","BearMR","i",1,"D1"
"29","BearMR","i",1,"D2"
"30","BearMR","j",1,"A4"
"31","BearMR","j",1,"B2"
"32","BearMR","j",1,"B4"
"33","BearMR","j",1,"C2"
"34","BearMR","j",1,"C3"
"35","BearMR","l",1,"E1"
"36","BearMR","l",1,"F1"
"37","BearMR","l",1,"F2"
"38","BearMR","l",1,"F3"
"39","BearMR","m",1,"A6"
"40","BearMR","m",1,"B6"
"41","BearMR","m",1,"C6"
"42","BearMR","n",1,"C6"
"43","BearMR","n",1,"D6"
"44","BearMR","o",1,"D4"
"45","BearMR","o",1,"E2"
"46","BearMR","o",1,"E3"
"47","BearMR","p",1,"D4"
"48","BearMR","p",1,"E2"
"49","BearMR","p",1,"E5"
"50","BearMR","p",1,"F3"
"51","BearMR","p",1,"F4"
"52","BearMR","q",1,"A5"
"53","BearMR","q",1,"B3"
"54","BearMR","r",1,"D2"
"55","BearMR","r",1,"E3"
"56","BearMR","r",1,"F2"
"57","BearMR","r",1,"F5"
"58","BearMR","s",1,"B1"
"59","BearMR","s",1,"C2"
"60","BearMR","s",1,"E1"
"61","BearMR","t",1,"B6"
"62","BearMR","u",1,"A4"
"63","BearMR","u",1,"B2"
"64","BearMR","u",1,"C2"
"65","BearMR","u",1,"D1"
"66","BearMR","u",1,"D3"
"67","BearMR","v",1,"D2"
"68","BearMR","v",1,"E3"
"69","BearMR","v",1,"F3"
"70","BearMR","w",1,"C2"
"71","BearMR","w",1,"D1"
"72","BearMR","w",1,"E1"
"73","BearMR","w",1,"E2"
"74","BearMR","w",1,"F1"
"75","BearMR","w",1,"F3"
"76","BearMR","x",1,"E1"
"77","BearMR","x",1,"F1"
"78","BearMR","y",1,"D3"
"79","BearMR","y",1,"F4"
"80","BearMR","y",1,"F5"
"81","BearMR","A",1,"C4"
"82","BearMR","A",1,"E4"
"83","BearMR","C",1,"A6"
"84","BearMR","C",1,"B2"
"85","BearMR","C",1,"D2"
"86","BearMR","D",1,"B5"
"87","BearMR","D",1,"C5"
"88","BearMR","a",2,"A6"
"89","BearMR","b",2,"B5"
"90","BearMR","b",2,"C5"
"91","BearMR","b",2,"D5"
"92","BearMR","b",2,"D6"
"93","BearMR","c",2,"A5"
"94","BearMR","c",2,"B4"
"95","BearMR","d",2,"D4"
"96","BearMR","d",2,"D5"
"97","BearMR","d",2,"E5"
"98","BearMR","d",2,"E6"
"99","BearMR","e",2,"F4"
"100","BearMR","e",2,"F5"
"101","BearMR","f",2,"C3"
"102","BearMR","f",2,"D2"
"103","BearMR","f",2,"E1"
"104","BearMR","g",2,"C2"
"105","BearMR","g",2,"C4"
"106","BearMR","g",2,"D4"
"107","BearMR","g",2,"D5"
"108","BearMR","g",2,"D6"
"109","BearMR","g",2,"E5"
"110","BearMR","h",2,"E2"
"111","BearMR","h",2,"E3"
"112","BearMR","h",2,"F2"
"113","BearMR","h",2,"F3"
"114","BearMR","i",2,"B2"
"115","BearMR","i",2,"C2"
"116","BearMR","i",2,"D2"
"117","BearMR","j",2,"A2"
"118","BearMR","j",2,"A4"
"119","BearMR","j",2,"B3"
"120","BearMR","j",2,"B4"
"121","BearMR","k",2,"E4"
"122","BearMR","k",2,"F4"
"123","BearMR","l",2,"E1"
"124","BearMR","l",2,"E2"
"125","BearMR","m",2,"A4"
"126","BearMR","m",2,"A6"
"127","BearMR","m",2,"B5"
"128","BearMR","m",2,"B6"
"129","BearMR","m",2,"C6"
"130","BearMR","n",2,"C6"
"131","BearMR","n",2,"D4"
"132","BearMR","n",2,"D6"
"133","BearMR","n",2,"E6"
"134","BearMR","o",2,"B3"
"135","BearMR","o",2,"D2"
"136","BearMR","o",2,"E3"
"137","BearMR","p",2,"E1"
"138","BearMR","p",2,"E3"
"139","BearMR","p",2,"F1"
"140","BearMR","q",2,"A3"
"141","BearMR","q",2,"B3"
"142","BearMR","r",2,"D1"
"143","BearMR","r",2,"E2"
"144","BearMR","r",2,"F1"
"145","BearMR","r",2,"F3"
"146","BearMR","r",2,"F4"
"147","BearMR","s",2,"D1"
"148","BearMR","s",2,"D2"
"149","BearMR","s",2,"E1"
"150","BearMR","t",2,"B6"
"151","BearMR","t",2,"D6"
"152","BearMR","u",2,"B2"
"153","BearMR","u",2,"B3"
"154","BearMR","u",2,"C3"
"155","BearMR","u",2,"D2"
"156","BearMR","u",2,"D4"
"157","BearMR","u",2,"E2"
"158","BearMR","v",2,"D2"
"159","BearMR","v",2,"E1"
"160","BearMR","v",2,"E3"
"161","BearMR","v",2,"F2"
"162","BearMR","v",2,"F3"
"163","BearMR","w",2,"D1"
"164","BearMR","w",2,"D3"
"165","BearMR","w",2,"E3"
"166","BearMR","w",2,"F1"
"167","BearMR","x",2,"F2"
"168","BearMR","y",2,"F4"
"169","BearMR","z",2,"E4"
"170","BearMR","z",2,"F3"
"171","BearMR","z",2,"F4"
"172","BearMR","z",2,"F5"
"173","BearMR","A",2,"D2"
"174","BearMR","A",2,"D3"
"175","BearMR","A",2,"E4"
"176","BearMR","A",2,"F2"
"177","BearMR","A",2,"F4"
"178","BearMR","B",2,"B2"
"179","BearMR","B",2,"C1"
"180","BearMR","B",2,"C2"
"181","BearMR","C",2,"A3"
"182","BearMR","C",2,"B5"
"183","BearMR","C",2,"C4"
"184","BearMR","C",2,"D4"
"185","BearMR","D",2,"B5"
"186","BearMR","D",2,"C5"
"187","BearMR","a",3,"A4"
"188","BearMR","a",3,"A5"
"189","BearMR","a",3,"A6"
"190","BearMR","a",3,"B5"
"191","BearMR","b",3,"B2"
"192","BearMR","b",3,"C4"
"193","BearMR","b",3,"C5"
"194","BearMR","b",3,"C6"
"195","BearMR","c",3,"A6"
"196","BearMR","c",3,"B6"
"197","BearMR","d",3,"D3"
"198","BearMR","d",3,"E3"
"199","BearMR","d",3,"E4"
"200","BearMR","d",3,"E5"
"201","BearMR","e",3,"E3"
"202","BearMR","e",3,"E5"
"203","BearMR","e",3,"F2"
"204","BearMR","e",3,"F5"
"205","BearMR","f",3,"C1"
"206","BearMR","f",3,"C2"
"207","BearMR","f",3,"E2"
"208","BearMR","f",3,"E3"
"209","BearMR","f",3,"F4"
"210","BearMR","g",3,"C3"
"211","BearMR","g",3,"D3"
"212","BearMR","g",3,"D5"
"213","BearMR","h",3,"E1"
"214","BearMR","h",3,"F2"
"215","BearMR","i",3,"B2"
"216","BearMR","i",3,"C1"
"217","BearMR","i",3,"C2"
"218","BearMR","i",3,"E2"
"219","BearMR","j",3,"A3"
"220","BearMR","j",3,"A4"
"221","BearMR","j",3,"A5"
"222","BearMR","j",3,"B2"
"223","BearMR","k",3,"F3"
"224","BearMR","k",3,"F5"
"225","BearMR","l",3,"E2"
"226","BearMR","l",3,"F2"
"227","BearMR","m",3,"B5"
"228","BearMR","m",3,"B6"
"229","BearMR","m",3,"C5"
"230","BearMR","m",3,"D5"
"231","BearMR","n",3,"B6"
"232","BearMR","n",3,"D5"
"233","BearMR","o",3,"E2"
"234","BearMR","o",3,"E3"
"235","BearMR","o",3,"F2"
"236","BearMR","p",3,"D2"
"237","BearMR","p",3,"E3"
"238","BearMR","q",3,"A2"
"239","BearMR","q",3,"A3"
"240","BearMR","q",3,"A4"
"241","BearMR","q",3,"A6"
"242","BearMR","q",3,"C5"
"243","BearMR","q",3,"D3"
"244","BearMR","r",3,"E1"
